,genres,keywords,tagline,cast,director,title,release_date,index
4526,Comedy Crime Family,,Just when you thought it was safe to go back into the world...,Kirby Heyborne,Kurt Hale,The R.M.,2003-01-31,4526
4527,Drama Romance,independent film,A different kind of love story.,Mark Polish Michael Polish Michele Hicks Jon Gries Patrick Bauchau,Michael Polish,Twin Falls Idaho,1999-07-30,4527
4528,Crime Drama,suicide alcohol secret birthday lake,"Beneath the surface, everyone has a secret.",Rory Culkin Scott Mechlowicz Trevor Morgan Josh Peck Ryan Kelley,Jacob Aaron Estes,Mean Creek,2004-01-15,4528
4529,Romance Crime Drama,prison new mexico smuggling gang theft,Know life. No limits.,Brendan Sexton III Antoine McLean Mtume Gant Carlo Alban David Roland Frank,Morgan J. Freeman,Hurricane Streets,1997-01-21,4529
4530,Comedy Romance,romantic comedy,A mature love story for immature people.,Jeffrey Tambor Jill Clayburgh Caroline Aaron Bill Duke Sandy Duncan,Eric Schaeffer,Never Again,2002-07-12,4530
4531,Crime Drama Thriller,woman director,,LisaRaye McCoy N'Bushe Wright Monica Calhoun Clifton Powell Yasiin Bey,Neema Barnette,Civil Brand,2003-08-29,4531
4532,Comedy Drama Romance,sexuality parents kids relationship indiana anti hero melancholy,,Casey Affleck Kevin Corrigan Liv Tyler Mary Kay Place Seymour Cassel,Steve Buscemi,Lonesome Jim,2005-11-16,4532
4533,Romance Drama,male female relationship co-worker relationship mumblecore,A comedy about knowing when to say when.,Olivia Wilde Jake Johnson Anna Kendrick Ron Livingston Ti West,Joe Swanberg,Drinking Buddies,2013-08-23,4533
4534,Documentary,magic woman director,,Ricky Jay Dick Cavett Winston Simon David Mamet Persi Diaconis,Molly Bernstein,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,2012-10-04,4534
4535,Action Drama,japan samurai peasant looting rice,The Mighty Warriors Who Became the Seven National Heroes of a Small Town,Toshir\u014d Mifune Takashi Shimura Yoshio Inaba Seiji Miyaguchi Minoru Chiaki,Akira Kurosawa,Seven Samurai,1954-04-26,4535
4536,Documentary,olympic games sport basketball basketball team,,Greg Speirs Jim Lampley Bill Walton Dan Majerle Mickey Hart,Marius Markevicius,The Other Dream Team,2012-09-28,4536
4537,Comedy Romance,sex nightclub nudity musician song,Keeping up an image can be a full time job.,Brad Pitt Calvin Levels Catherine Keener Nick Cave Alison Moir,Tom DiCillo,Johnny Suede,1991-08-18,4537
4538,Comedy,satire independent film spoof,,Roger Fan Sung Kang Monique Gabriela Curnen Meredith Scott Lynn Sam Bottoms,Justin Lin,Finishing The Game,2007-01-21,4538
4539,Comedy Drama Fantasy Horror Mystery,exploding building duringcreditsstinger,Are you TIRED of the expected?,Thomas F. Duffy David Bowe Stephen Spinella Roxane Mesquida Jack Plotnick,Quentin Dupieux,Rubber,2010-07-09,4539
4540,Drama Comedy Romance,gay interest,,Tori Spelling Les Williams,C. Jay Cox,Kiss the Bride,2007-01-01,4540
4541,Drama,,,Ryan Gosling David Morse Clea DuVall Amy Adams David Cale,Alex Smith,The Slaughter Rule,2002-01-01,4541
4542,Drama Thriller Science Fiction,monster pyramid radio dystopia infection,"After Six Years, They're No Longer Aliens. They're Residents",Whitney Able Scoot McNairy Annalee Jefferies Kevon Kane Fernando Lara,Gareth Edwards,Monsters,2010-06-18,4542
4543,Drama Comedy,,All is fair in love and real estate.,Noah Wyle Illeana Douglas Kate Mara Cloris Leachman Joanne Whalley,Jonathan Parker,The Californians,2005-10-21,4543
4544,Comedy,independent film,,Jesse Eisenberg Mike O'Connell Jim Gaffigan Ann Dowd Colombe Jacobsen-Derstine,Sol Tryon,The Living Wake,2007-01-01,4544
4545,Comedy Horror,high school independent film zombie extreme violence,"When there's no more room in Hell, the dead will go to DETENTION!",Jacob Zachar Alexa Nikolas Christa Brittany  Allen Jayson Blair Justin Chon,Alex Craig Mann,Detention of the Dead,2012-04-27,4545
4546,Action Comedy,,,Guo Tao Liu Hua Liu Gang Xu Zheng Huang Bo,Ning Hao,Crazy Stone,2006-01-01,4546
4547,Documentary Music,music,,Scott Walker Damon Albarn David Bowie Jarvis Cocker Marc Almond,Stephen Kijak,Scott Walker: 30 Century Man,2006-10-31,4547
4548,Drama,independent film,,Radha Mitchell Megan Mullally Catherine Lloyd Burns Jacqueline Heinze Alan Ruck,Marc Forster,Everything Put Together,2001-11-02,4548
4549,Action Drama Thriller,pilot suspicion drone u.s. military air force base,,Ethan Hawke January Jones Zo\u00eb Kravitz Jake Abel Bruce Greenwood,Andrew Niccol,Good Kill,2015-04-09,4549
4550,,,,,William Gazecki,The Outrageous Sophie Tucker,2014-05-02,4550
4551,Drama Romance,cancer teenager teen drama bucket list based on young adult novel,"Live every moment, love every minute",Dakota Fanning Jeremy Irvine Kaya Scodelario Olivia Williams Paddy Considine,Ol Parker,Now Is Good,2012-05-25,4551
4552,Horror Comedy,,,Katie Peterson Shea Stewart Brandy Whitford Caley Hayes Ryan Keely,Michael Hoffman Jr.,Girls Gone Dead,2012-03-28,4552
4553,,,,,,America Is Still the Place,,4553
4554,Action Thriller Mystery,submarine woman director,,Tim Abell Naomi Brockwell Aleisha Force Tom Stedham Cambridge Jones,Georgia Hilton,Subconscious,2015-03-10,4554
4555,Mystery Science Fiction Thriller,cabin time travel woods cabin in the woods lost,Welcome to our nightmare!,Katherine Waterston Scott Eastwood Sara Paxton Shaun Sipos Christopher Denham,Jack Heller,Enter Nowhere,2011-10-22,4555
4556,Crime Drama,,,Manny P\u00e9rez Luz Garcia Sergio Carlo Juan Maria Almonte Rafael Estephan,Fernando Baez Mella,El Rey de Najayo,2012-03-01,4556
4557,Romance Action,sport fighting,It's all or nothing,Jennifer Hale Evan Hannemann Tonya Kay Anna Ross Tamara Rey,Warren Sheppard,Fight to the Finish,2016-02-02,4557
4558,Music Horror,carnival musical sequel devil dark carnival,Hell ain't got a prayer.,Terrance Zdunich Paul Sorvino Marc Senter Emilie Autumn Nivek Ogre,Darren Lynn Bousman,Alleluia! The Devil's Carnival,2016-03-29,4558
4559,Thriller Comedy Mystery,,Be careful what you listen for.,Joseph E. Murray Alex Anfanger Rhomeyn Johnson Mary Kate Wiles,Justin Paul Miller,The Sound and the Shadow,2014-10-19,4559
4560,Family,,,Kevin Sorbo Sophie Bolen Derek Brandon Carrie Bradstreet Tiffany Burns,Joel Paul Reisig,Rodeo Girl,2016-01-05,4560
4561,Documentary,woman director,,Elizabeth Streb Fabio Tavares Sarah Callan Jaclyn Carlson Leonardo Giron,Catherine Gund,Born to Fly: Elizabeth Streb vs. Gravity,2014-03-08,4561
4562,,,,,,The Little Ponderosa Zoo,2014-09-11,4562
4563,Science Fiction Action Comedy Horror,corruption mayor anti hero sadism toxic,He was 98lbs. of solid nerd until he became...,Mitch Cohen Andree Maranda Jennifer Prichard Cindy Manion Robert Prichard,Lloyd Kaufman,The Toxic Avenger,1984-05-01,4563
4564,Drama,,,,Matty Rich,Straight Out of Brooklyn,1991-06-13,4564
4565,Action Adventure Drama History,northern ireland independent film civil rights,,James Nesbitt Allan Gildea Gerard Crossan Mary Moulds Carmel McCallion,Paul Greengrass,Bloody Sunday,2002-01-16,4565
4566,,,,,,Diamond Ruff,2015-01-01,4566
4567,Drama Romance,dialogue talking bridesmaid wedding reception wedding,There are two sides to every love story.,Helena Bonham Carter Aaron Eckhart Yury Tsykun Brian Geraghty Brianna Brown,Hans Canosa,Conversations with Other Women,2006-06-07,4567
4568,Horror Comedy,musical zombie,,Jason Yachanin Kate Graham Allyson Sereboff Robin L. Watkins Joshua Olatunde,Lloyd Kaufman,Poultrygeist: Night of the Chicken Dead,2006-12-26,4568
4569,,,Surprise parties rarely go well.,Caitlin Fitzgerald Cheyenne Jackson Peter Scanavino Michael Stahl-David Christina Cole,Matthew Watts,Mutual Friends,2014-04-15,4569
4570,Music Comedy Romance,philadelphia musical stage show director broken ankle,,Warner Baxter Bebe Daniels George Brent Ruby Keeler Guy Kibbee,Lloyd Bacon,42nd Street,1933-02-02,4570
4571,,,,,,Rise of the Entrepreneur: The Search for a Better Way,2014-11-20,4571
4572,Comedy Drama,upper class new york independent film debutante young adult,Finally... A film about the downwardly mobile.,Edward Clements Chris Eigeman Taylor Nichols Carolyn Farina Isabel Gillies,Whit Stillman,Metropolitan,1990-08-03,4572
4573,Romance Drama Comedy Music,individual underdog mentally disabled loss of mother sweden,,Michael Nyqvist Frida Hallgren Helen Sj\u00f6holm Lennart J\u00e4hkel Ingela Olsson,Kay Pollak,As It Is in Heaven,2004-09-03,4573
4574,Horror Drama,,Their fate...is in his hands.,Ace Marrero Katie Stegeman,Eric England,Roadside,2013-03-01,4574
4575,Comedy,underdog brother brother relationship idaho high school chat,He's out to prove he's got nothing to prove.,Jon Heder Aaron Ruell Jon Gries Efren Ramirez Shondrella Avery,Jared Hess,Napoleon Dynamite,2004-06-11,4575
4576,Crime Thriller,revenge drifter virginia character study neo-noir,Revenge comes home,Macon Blair Devin Ratray Amy Hargreaves Kevin Kolack Eve Plumb,Jeremy Saulnier,Blue Ruin,2014-04-25,4576
4577,Horror Mystery,haunting psychic entity demonic possession found footage,What Happens When You Sleep?,Katie Featherston Micah Sloat Mark Fredrichs Amber Armstrong Ashley Palmer,Oren Peli,Paranormal Activity,2007-09-14,4577
4578,Documentary,skateboarding independent film,,Sean Penn Jay Adams Henry Rollins Steve Caballero Tony Hawk,Stacy Peralta,Dogtown and Z-Boys,2001-01-18,4578
4579,Adventure Comedy Fantasy,holy grail monk scotland yard swordplay camelot,And now! At Last! Another film completely different from some of the other films which aren't quite the same as this one is.,Graham Chapman John Cleese Terry Gilliam Eric Idle Terry Jones,Terry Gilliam,Monty Python and the Holy Grail,1975-03-13,4579
4580,Drama,,Life's no walk in the park,Emily Rios Jesse Garcia Chalo Gonz\u00e1lez David W. Ross Ramiro Iniguez,Richard Glatzer,Quinceañera,2006-06-05,4580
4581,,woman director,,,Sue Corcoran,Gory Gory Hallelujah,2003-11-05,4581
4582,Documentary Drama,schizophrenia gay usa rape texas,,Renee Leblanc Adolph Davis Jonathan Caouette Rosemary Davis David Sanin Paz,Jonathan Caouette,Tarnation,2003-10-19,4582
4583,Documentary,,The film contrasts two views of role that the federal government should play in our daily lives using the words and actions of Ronald Reagan and Barack Obama.,,,I Want Your Money,2010-07-06,4583
4584,Horror Comedy,,,Kane Hodder Doug Jones Gena Shaw Marissa Skell Michael McShane,Matt Jackson,Love in the Time of Monsters,2014-03-08,4584
4585,Horror,hotel experiment hell gore morgue,"The seven dreaded gateways to Hell are concealed in seven cursed places… And from the day the gates of Hell are opened, the dead will walk the earth.",Catriona MacColl David Warbeck Cinzia Monreale Antoine Saint-John Veronica Lazar,Lucio Fulci,The Beyond,1981-04-22,4585
4586,Comedy Romance,casino hotel roommate fictitious marriage romantic comedy,Get Lucky,Ashton Kutcher Cameron Diaz Lake Bell Queen Latifah Treat Williams,Tom Vaughan,What Happens in Vegas,2008-05-07,4586
4587,Horror Science Fiction Thriller,canada winter hostage olympic games cabin,,Kate Greenhouse Aidan Devine Gordon Currie Iris Graham Dov Tiefenbach,Paul Fox,The Dark Hours,2005-03-11,4587
4588,Romance Drama Comedy,london england gay immigration society british,,Gordon Warnecke Daniel Day-Lewis Roshan Seth Saeed Jaffrey Derrick Branche,Stephen Frears,My Beautiful Laundrette,1985-09-07,4588
4589,Drama Mystery Thriller,independent film,There once was a wolf named Lupold...,,,Fabled,2002-01-01,4589
4590,Drama Thriller,kidnapping,,Michelle Nolden Katharine Isabelle Kett Turton Gabriel Hogan Allegra Fulton,Cassandra Nicolaou,Show Me,2004-09-23,4590
4591,Drama,sister sister relationship sweden dying and death,A haunting and shattering film experience.,Harriet Andersson Ingrid Thulin Kari Sylwan Liv Ullmann Erland Josephson,Ingmar Bergman,Cries and Whispers,1972-12-21,4591
4592,Drama,usa naivety intolerance mill marriage,The Cruel Hand of Intolerance,Lillian Gish Mae Marsh Robert Harron F.A. Turner Sam De Grasse,D.W. Griffith,Intolerance,1916-09-04,4592
4593,Documentary,pop culture fan culture documentary science fiction space opera,,Denise Crosby Barbara Adams Majel Barrett James Doohan DeForest Kelley,Roger Nygard,Trekkies,1997-10-18,4593
4594,Drama Music Romance,musical singer pre-code wisecrack humor early sound film,The pulsating drama of Broadway's bared heart speaks and sings with a voice to stir your soul!,Charles King Anita Page Bessie Love Nacio Herb Brown Mary Doran,Harry Beaumont,The Broadway Melody,1929-02-08,4594
4595,Horror,falsely accused beheading audio tape log cabin chain saw,The Ultimate Experience In Grueling Terror,Bruce Campbell Ellen Sandweiss Richard DeManincor Betsy Baker Theresa Tilly,Sam Raimi,The Evil Dead,1981-10-15,4595
4596,Horror,prostitute mannequin remake murder gore,I Warned You Not to Go Out Tonight.,Elijah Wood America Olivo Nora Arnezeder Zoe Aggeliki Jan Broberg,Franck Khalfoun,Maniac,2012-12-26,4596
4597,History Documentary,woman director,"The Six-Day War, Uncut.",Amos Oz,Mor Loushy,Censored Voices,2015-01-24,4597
4598,Documentary,paralympics wheelchair sport rugby,,Joe Bishop Keith Cavill Andy Cohn Scott Hogsett Christopher Igoe,Henry Alex Rubin,Murderball,2005-07-22,4598
4599,Action Adventure Drama,marine corps army ninja,,Michael Dudikoff Steve James Larry Poindexter Gary Conway Jeff Celentano,Sam Firstenberg,American Ninja 2: The Confrontation,1987-05-01,4599
4600,Documentary,,Do you really want to know your parents?,Carol Block Doug Block Ellen Block,Doug Block,51 Birch Street,2006-10-18,4600
4601,Science Fiction Family,,,Christian Kapper Natalie Welch Tom E. Nicholson Steve Moses Patrick Casteel,Chad Kapper,Rotor DR1,2015-10-20,4601
4602,Drama,judge jurors sultriness death penalty father murder,Life is in their hands. Death is on their minds.,Henry Fonda Martin Balsam John Fiedler Lee J. Cobb E.G. Marshall,Sidney Lumet,12 Angry Men,1957-03-25,4602
4603,Animation Comedy Drama,human animal relationship dog german shepherd woman director,"Sometimes, love really is a bitch.",Christopher Plummer Lynn Redgrave Isabella Rossellini Peter Gerety Brian Murray,Paul Fierlinger,My Dog Tulip,2009-01-01,4603
4604,Comedy Romance,miami reference to the big bad wolf reporter,TOGETHER... for the first time,Clark Gable Claudette Colbert Walter Connolly Roscoe Karns Jameson Thomas,Frank Capra,It Happened One Night,1934-02-22,4604
4605,Drama,male nudity female nudity hostage paranoia dysfunctional family,The cat is the most feared animal there is!,Hristos Passalis Angeliki Papoulia Mary Tsoni Christos Stergioglou Michele Valley,Yorgos Lanthimos,Dogtooth,2009-06-01,4605
4606,Music Documentary,rap music hip-hop blunt woman director,In his own words,Tupac Amaru Shakur,Lauren Lazin,Tupac: Resurrection,2003-01-23,4606
4607,Comedy Drama,independent film,They ran away from everything but each other.,Janet McTeer Kimberly J. Brown Jennifer Paige,Gavin O'Connor,Tumbleweeds,1999-11-28,4607
4608,Fantasy Horror Thriller,angel archangel gabriel menschheit,"On ancient ground, at the edge of the world, an evil born in heaven is about to be unleashed on earth.",Christopher Walken Elias Koteas Virginia Madsen Eric Stoltz Adam Goldberg,Gregory Widen,The Prophecy,1995-09-01,4608
4609,Comedy,paris cat,No man. No job. No cat.,Garance Clavel Zinedine Soualem Ren\u00e9e Le Calm Olivier Py Simon Abkarian,C\u00e9dric Klapisch,When the Cat's Away,1996-04-03,4609
4610,Comedy Drama,sex thanksgiving road trip love independent film,She's the one in every family.,Katie Holmes Derek Luke Patricia Clarkson Oliver Platt Alison Pill,Peter Hedges,Pieces of April,2003-01-19,4610
4611,,,,Mark Adams Mark Caven Allison Egan Jackie Sawiris Kevin Howarth,Niall Johnson,The Big Swap,1998-06-11,4611
4612,Drama,woman director,,Daniel London Will Oldham Tanya Smith Robin Rosenberg Keri Moran,Kelly Reichardt,Old Joy,2006-01-01,4612
4613,Drama,usa friendship survival scar family,"On the long road, friendship is everything.",Michelle Williams Will Patton Will Oldham John Robinson,Kelly Reichardt,Wendy and Lucy,2008-05-22,4613
4614,Drama,independent film,,Edie Falco Embeth Davidtz Elias Koteas Rachel Resheff Kathryn Erbe,Eric Mendelsohn,3 Backyards,2010-01-01,4614
4615,Drama Thriller,paris painting independent film money bombing,,Jean-Paul Belmondo Anna Karina Graziella Galvani Dirk Sanders Jimmy Karoubi,Jean-Luc Godard,Pierrot le Fou,1965-08-29,4615
4616,Documentary,woman director,,,Kim Longinotto,Sisters in Law,2005-09-03,4616
4617,Documentary,philosophy india healing,,,Pan Nalin,Ayurveda: Art of Being,2001-09-20,4617
4618,Drama,,,Ivan Dixon Abbey Lincoln Julius Harris Gloria Foster Martin Priest,Michael Roemer,Nothing But a Man,1964-01-01,4618
4619,Drama,sex misfit boring,,Giovanni Ribisi Natasha Gregson Wagner Donal Logue Robert John Burke Jeannetta Arnette,Jesse Peretz,"First Love, Last Rites",1998-08-07,4619
4620,Action Adventure Drama,boxer massage unrequited love locker room independent film,,J.P. Davis Eddie Jones Christina Chambers Diane Tayler,Eddie O'Flaherty,Fighting Tommy Riley,2005-05-06,4620
4621,Action Thriller,bodyguard princess female assassin soldier heir,,Pat Morita Eric Roberts Gail Kim Lalaine Alexander Wraith,Babar Ahmed,Royal Kill,2009-04-10,4621
4622,,,,Dorothy Tristan Jace Casey Jace Casey Harry Musselwhite Elizabeth Stenholt,John D. Hancock,The Looking Glass,2015-10-23,4622
4623,Action Comedy Science Fiction,dystopia street race reality spoof,A Cross Country Road Wreck!,David Carradine Simone Griffeth Sylvester Stallone Mary Woronov Roberta Collins,Paul Bartel,Death Race 2000,1975-04-27,4623
4624,Horror Drama Thriller,terror anthology suspense,,Ricky Schroder Jon Gries Tatyana Ali Jason Marsden Rick Hoffman,Jason Marsden,Locker 13,2014-03-29,4624
